,words,counts
1417,reeboks,4
1418,fair,4
1419,shy,4
1420,deck,4
1421,save,4
1422,katy,4
1423,concrete,4
1424,jungle,4
1425,brandnew,4
1426,nas,3
1427,felony,3
1428,misdemeanor,3
1429,bike,3
1430,cruise,3
1431,rat,3
1432,jock,3
1433,cheap,3
1434,wide,3
1435,blast,3
1436,fart,3
1437,shaker,3
1438,skirt,3
1439,ticket,3
1440,titties,3
1441,scene,3
1442,rend,3
1443,letter,3
1444,gin,3
1445,ironic,3
1446,crowd,3
1447,memphis,3
1448,texas,3
1449,silly,3
1450,holder,3
1451,snatch,3
1452,sober,3
1453,near,3
1454,wreck,3
1455,bullet,3
1456,rough,3
1457,smooth,3
1458,toast,3
1459,lace,3
1460,position,3
1461,chase,3
1462,mix,3
1463,shot,3
1464,parker,3
1465,california,3
1466,local,3
1467,magazine,3
1468,hotel,3
1469,peep,3
1470,collar,3
1471,gum,3
1472,inn,3
1473,private,3
1474,uptown,3
1475,salute,3
1476,doom,3
1477,whether,3
1478,loss,3
1479,boss,3
1480,notice,3
1481,mill,3
1482,gossip,3
1483,sneak,3
1484,earn,3
1485,shame,3
1486,church,3
1487,smart,3
1488,falco,3
1489,discussion,3
1490,cage,3
1491,amaze,3
1492,page,3
1493,rip,3
1494,mentally,3
1495,contestant,3
1496,studio,3
1497,pie,3
1498,despite,3
1499,pad,3
1500,plain,3
1501,admit,3
1502,sofa,3
1503,mark,3
1504,recognize,3
1505,junior,3
1506,poster,3
1507,argue,3
1508,busy,3
1509,lobby,3
1510,saturday,3
1511,liquor,3
1512,deejay,3
1513,dunkin,3
1514,sleeve,3
1515,shrooms,3
1516,kon,3
1517,gray,3
1518,whore,3
1519,swift,3
1520,ago,3
1521,traffic,3
1522,feed,3
1523,lac,3
1524,voice,3
1525,coo,3
1526,sum,3
1527,attic,3
1528,snap,3
1529,vocal,3
1530,radio,3
1531,stare,3
1532,history,3
1533,create,3
1534,tv,3
1535,conversation,3
1536,rank,3
1537,sole,3
1538,nicki,3
1539,minaj,3
1540,mar,3
1541,ps,3
1542,timbaland,3
1543,strike,3
1544,ine,3
1545,philly,3
1546,paris,3
1547,thrift,3
1548,stuff,3
1549,bye,3
1550,2,3
1551,romance,3
1552,everytime,3
1553,stash,3
1554,heel,3
1555,squeeze,3
1556,climb,3
1557,miami,3
1558,swell,3
1559,ty,3
1560,cheek,3
1561,anthem,3
1562,score,3
1563,court,3
1564,clownin,3
1565,realist,3
1566,grizzly,3
1567,com,3
1568,pacific,3
1569,atlantic,3
1570,eastern,3
1571,passion,3
1572,culcha,3
1573,candela,3
1574,od,3
1575,newman,3
1576,wal,3
1577,steine,3
1578,philipp,3
1579,poisel,3
1580,inner,3
1581,umbrella,3
1582,lmfao,3
1583,doctor,3
1584,rhythm,3
1585,hero,3
1586,sarah,3
1587,patience,3
1588,cho,3
1589,mickie,3
1590,krause,3
1591,total,3
1592,bonnie,3
1593,silence,3
1594,ea,3
1595,garvey,3
1596,schuhmacher,3
1597,scooter,3
1598,status,3
1599,ow,3
1600,wolken,3
1601,sa,3
1602,miley,3
1603,cyrus,3
1604,sting,3
1605,mumford,3
1606,sos,3
1607,control,3
1608,marius,3
1609,müllewesternhagen,3
1610,kleine,3
1611,floyd,3
1612,nacht,3
1613,andrea,3
1614,ber,3
1615,ax,3
1616,birdy,3
1617,tan,3
1618,om,3
1619,herbert,3
1620,gtönemeyer,3
1621,bulé,3
1622,ernie,3
1623,jupiter,3
1624,din,3
1625,rise,3
1626,üer,3
1627,river,3
1628,maggers,3
1629,unite,3
1630,garden,3
1631,carly,3
1632,jepsen,3
1633,gracious,3
1634,spirit,3
1635,rose,3
1636,champion,3
1637,passenger,3
1638,kan,3
1639,hardcore,3
1640,noc,3
1641,del,3
1642,tawil,3
1643,shakira,3
1644,gil,3
1645,plane,3
1646,bay,3
1647,helene,3
1648,fischer,3
1649,lokalpiloten,3
1650,level,3
1651,soft,3
1652,legend,3
1653,earth,3
1654,marteria,3
1655,existent,3
1656,derulo,3
1657,animal,3
1658,robin,3
1659,lift,3
1660,banana,3
1661,shell,3
1662,fact,3
1663,slap,3
1664,leg,3
1665,click,3
1666,sigel,3
1667,bully,3
1668,deserve,3
1669,dot,3
1670,scary,3
1671,necessary,3
1672,march,3
1673,bcb,3
1674,tease,3
1675,rocaroca,3
1676,bird,3
1677,winner,3
1678,swoop,3
1679,tie,3
1680,rica,3
1681,public,3
1682,flop,3
1683,depend,3
1684,winter,3
1685,coupe,3
1686,basis,3
1687,bowl,3
1688,dr,3
1689,hahahaha,3
1690,fake,3
1691,loser,3
1692,theme,3
1693,center,3
1694,support,3
1695,almost,3
1696,foolish,3
1697,v,3
1698,gator,3
1699,atl,3
1700,hen,3
1701,pd,3
1702,conversate,3
1703,starve,3
1704,sixteen,3
1705,mug,3
1706,jbo,3
1707,dial,3
1708,pistol,3
1709,whoop,3
1710,relax,3
1711,belt,3
1712,dancefloor,3
1713,within,3
1714,bore,3
1715,robinson,3
1716,dt,3
1717,strain,3
1718,award,3
1719,slip,3
1720,sample,3
1721,rucker,3
1722,cube,3
1723,yep,3
1724,melt,3
1725,introduce,3
1726,spoil,3
1727,swim,3
1728,brandy,3
1729,bean,3
1730,simply,3
1731,ipp,3
1732,collegepark,3
1733,js,3
1734,thankful,3
1735,shade,3
1736,proportion,3
1737,compliment,3
1738,areyou,3
1739,anybody,3
1740,shaaaaaaawty,3
1741,ringtoooone,3
1742,ignore,3
1743,shesheshe,3
1744,cacall,3
1745,owe,3
1746,gwen,3
1747,stefani,3
1748,bodyguard,3
1749,quiet,3
1750,areare,3
1751,chaser,3
1752,beg,3
1753,cab,3
1754,motherfuckers,2
1755,charge,2
1756,feds,2
1757,tuck,2
1758,area,2
1759,impress,2
1760,toy,2
1761,lexus,2
1762,visa,2
1763,royce,2
1764,thugged,2
1765,slightly,2
1766,rugged,2
1767,stallion,2
1768,commit,2
1769,qtip,2
1770,peel,2
1771,honest,2
1772,satisfy,2
1773,login,2
1774,salt,2
1775,tiger,2
1776,thin,2
1777,chinese,2
1778,male,2
1779,mmmm,2
1780,bud,2
1781,serve,2
1782,entertain,2
1783,hannibal,2
1784,proud,2
1785,tonic,2
1786,chronic,2
1787,spamming,2
1788,foul,2
1789,3,2
1790,chitown,2
1791,savannah,2
1792,thirty,2
1793,quit,2
1794,semi,2
1795,bernie,2
1796,donald,2
1797,trump,2
1798,pen,2
1799,production,2
1800,ceo,2
1801,lounge,2
1802,blind,2
1803,crime,2
1804,empty,2
1805,jar,2
1806,cock,2
1807,advance,2
1808,slice,2
1809,heavy,2
1810,slang,2
1811,cane,2
1812,eddie,2
1813,freeway,2
1814,autograph,2
